Ep. No.,Brand,Male,Female,Location,Idea,Sector,Deal,Amount Invested lakhs,Amout Asked,Debt Invested,Debt Asked,Equity Taken %,Equity Asked %,Avg age,Team members,Ashneer Amount Invested,Ashneer Equity Taken %,Namita Amount Invested,Namita Equity Taken %,Anupam Amount Invested,Anupam Equity Taken %,Vineeta Amount Invested,Vineeta Equity Taken %,Aman Amount Invested,Aman Equity Taken %,Peyush Amount Invested,Peyush Equity Taken %,Ghazal Amount Invested,Ghazal Equity Taken %,Total investors,Partners
1,BluePine Industries,2,1,Delhi,Frozen Momos,Food,?75 lakhs for 16% equity,75,50,0,0,16,5,35-40,3,25,5.333333333,0,0,0,0,25,5.33,25,5.33,0,0,0,0,3,Ama-Ash-Vin
1,Booz scooters,1,0,Ahemdabad,Renting e-bike for mobility in private spaces,Automobile,?40 lakhs for 50% equity,40,40,0,0,50,15,25-30,1,20,25,0,0,0,0,20,25,0,0,0,0,0,0,2,Ash-Vin
1,Heart up my Sleeves,0,1,Delhi,Detachable Sleeves,Clothes,?25 lakhs for 30% equity,25,25,0,0,30,10,20-25,1,0,0,0,0,12.5,15,12.5,15,0,0,0,0,0,0,2,Anu-Vin
2,Tagz Foods,2,0,Bangalore,Healthy Potato Chips,Food,?70 lakhs for 2.75% equity,70,70,0,0,2.75,1,35-40,2,70,2.75,0,0,0,0,0,0,0,0,0,0,0,0,1,Ash
2,Head and Heart,1,1,Delhi,Brain Development Course,Health,No Deal,0,50,0,0,0,5,50-55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2,Agro tourism,1,1,Baramati,Tourism,Tourism,No Deal,0,50,0,0,0,5,50-55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,Qzense Labs,0,2,Delhi,Food Freshness Detector,Food,No Deal,0,100,0,0,0,0.25,30-35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,Peeschute,1,0,Jalna,Disposable Urine Bag,Health,?75 lakhs for 6% equity,75,75,0,0,6,4,30-35,1,0,0,0,0,0,0,0,0,75,6,0,0,0,0,1,Ama
3,NOCD,2,0,Bangalore,Energy Drink,Food,?20 lakhs for 15% equity and ?30 lakhs debt,20,50,30,0,15,2,30-35,2,0,0,0,0,0,0,50,15,0,0,0,0,0,0,1,Vin
4,CosIQ,1,1,Delhi,Intelligent Skincare,Health,?50 lakhs for 25% equity,50,50,0,0,25,7.5,25-30,2,0,0,0,0,25,12.5,25,12.5,0,0,0,0,0,0,2,Anu-Vin
4,JhaJi Achaar,0,2,Darbhanga,Pickle,Food,No Deal,0,50,0,0,0,10,45-50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
4,Bummer,1,0,Ahemdabad,Underwear,Clothes,?75 lakhs for 7.5% equity,75,75,0,0,7.5,4,20-25,1,0,0,37.5,3.75,0,0,0,0,37.5,3.75,0,0,0,0,2,Ama-Nam
5,Revamp Moto,3,0,Nashik,E-Bike,Automobile,?1 crore for 1.5% equity,100,100,0,0,1.5,1,25-30,3,0,0,0,0,50,0.75,0,0,50,0.75,0,0,0,0,2,Ama-Anu
5,Hungry Heads,2,0,Mumbai,Restaurant serving 80 types of Maggi,Food,No Deal,0,50,0,0,0,5,35-40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
5,Shrawani Engineers,2,0,Pune,Belly Button Shaper,Lifestyle,No Deal,0,10,0,0,0,20,35-40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
6,Skippi Pops,1,1,Hyderabad,Ice-Pops,Food,?1 crore for 15% equity,100,45,0,0,15,5,35-40,2,20,3,20,3,20,3,20,3,20,3,0,0,0,0,5,Ama-Anu-Ash-Nam-Vin
6,Menstrupedia,1,1,Ahemdabad,Menstrual Awareness Comic,Health,?50 lakhs for 20% equity,50,50,0,0,20,10,35-40,2,0,0,50,20,0,0,0,0,0,0,0,0,0,0,1,Nam
6,Hecolll,0,1,Hyderabad,Pollution Resistant Fabric,Clothes,No Deal,0,100,0,0,0,1,35-40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
7,Raising Superstars,1,1,Mumbai,Child Development App,Lifestyle,?1 crore for 4% equity,100,100,0,0,4,2,35-40,2,50,2,0,0,0,0,0,0,50,2,0,0,0,0,2,Ama-Ash
